City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Washington,US,47.5001,-120.5015,43.0,57,4,4.38,clear sky
126,Alofi,NU,-19.0595,-169.9187,69.8,100,19,2.3,few clouds
127,Salalah,OM,17.0151,54.0924,84.2,70,0,5.75,clear sky
128,Yeppoon,AU,-23.1333,150.7333,71.6,64,90,10.36,overcast clouds
129,Egvekinot,RU,66.3167,-179.1667,-2.02,86,100,21.43,overcast clouds
130,Saint-Joseph,RE,-21.3667,55.6167,77.0,83,75,18.41,light rain
131,Salinopolis,BR,-0.6136,-47.3561,81.55,76,44,2.04,scattered clouds
132,Devonport,AU,-41.1667,146.35,54.0,93,10,4.05,clear sky
133,Hithadhoo,MV,-0.6,73.0833,83.88,77,29,20.0,scattered clouds
134,Pisco,PE,-13.7,-76.2167,72.0,73,26,5.75,scattered clouds
135,Nabire,ID,-3.3667,135.4833,76.15,93,100,1.61,light rain
136,Saint-Philippe,RE,-21.3585,55.7679,77.0,83,75,18.41,light rain
137,Pevek,RU,69.7008,170.3133,-19.28,96,12,3.87,few clouds
138,Belmonte,BR,-15.8631,-38.8828,82.4,78,75,2.3,heavy intensity rain
139,Asyut,EG,27.181,31.1837,69.8,30,0,12.66,clear sky
140,Ciudad Guayana,VE,8.3533,-62.6528,86.0,63,35,1.99,scattered clouds
141,Tambopata,PE,-12.7333,-69.1833,75.2,94,90,4.61,mist
142,Bethel,US,41.3712,-73.414,30.2,40,90,12.66,overcast clouds
143,Azuaga,ES,38.2667,-5.6833,62.01,54,55,14.0,broken clouds
144,Husavik,IS,66.0449,-17.3389,46.4,49,0,23.02,clear sky
145,Makakilo City,US,21.3469,-158.0858,71.6,77,1,5.75,clear sky
146,Saldanha,ZA,-33.0117,17.9442,71.6,53,80,10.36,broken clouds
147,Castro,BR,-24.7911,-50.0119,71.8,48,27,3.42,scattered clouds
148,Awjilah,LY,29.1081,21.2869,72.75,19,0,5.06,clear sky
149,Cape Town,ZA,-33.9258,18.4232,69.8,56,0,11.5,clear sky
150,Alugan,PH,12.2188,125.4808,81.07,72,40,11.77,scattered clouds
151,San Patricio,US,28.017,-97.5169,71.6,37,75,19.57,broken clouds
152,Sitka,US,57.0531,-135.33,35.6,75,90,11.5,snow
153,Nikolskoye,RU,59.7035,30.7861,39.2,70,75,6.71,broken clouds
154,Port Elizabeth,ZA,-33.918,25.5701,64.4,82,0,16.11,clear sky
155,Ayan,RU,56.45,138.1667,25.72,96,100,9.98,light snow
156,Nouadhibou,MR,20.931,-17.0347,77.0,57,66,18.41,broken clouds
157,Pasighat,IN,28.0667,95.3333,68.31,59,20,5.28,few clouds
158,Belle Fourche,US,44.6714,-103.8522,63.0,14,1,19.57,clear sky
159,Henties Bay,NA,-22.116,14.2845,69.01,78,9,13.0,clear sky
160,Wasilla,US,61.5814,-149.4394,8.6,92,1,0.92,clear sky
161,Vostok,RU,46.4856,135.8833,35.31,80,100,7.09,light snow
162,Gornyak,RU,50.9942,81.4661,23.11,79,68,8.99,broken clouds
163,Brae,GB,60.3964,-1.353,44.6,61,40,14.97,scattered clouds
164,Bengkulu,ID,-3.8004,102.2655,77.74,88,100,11.79,overcast clouds
165,Caravelas,BR,-17.7125,-39.2481,83.44,67,28,7.61,scattered clouds
166,La Paz,BO,-16.5,-68.15,53.6,71,75,6.91,broken clouds
167,Albanel,CA,48.8832,-72.4487,17.6,62,100,13.8,overcast clouds
168,Arman,RU,59.7,150.1667,2.25,82,9,8.77,clear sky
169,Westport,US,41.1415,-73.3579,33.01,40,90,16.11,overcast clouds
170,Lompoc,US,34.6391,-120.4579,48.2,100,0,4.79,clear sky
171,Sambava,MG,-14.2667,50.1667,77.77,86,52,13.73,light rain
172,Pio Xii,BR,-3.8325,-45.1525,88.74,56,68,2.75,broken clouds
173,Mogadishu,SO,2.0371,45.3438,82.44,77,24,13.15,few clouds
174,Bambanglipuro,ID,-7.95,110.2833,78.33,85,97,3.42,overcast clouds
175,Oranjemund,NA,-28.55,16.4333,64.27,72,13,18.5,few clouds
176,Huarmey,PE,-10.0681,-78.1522,73.76,75,60,7.72,broken clouds
177,Gornopravdinsk,RU,60.05,69.9,33.35,97,100,8.55,overcast clouds
178,Moron,AR,-34.6534,-58.6198,73.4,56,0,10.36,clear sky
179,Ostrovnoy,RU,68.0531,39.5131,24.42,95,98,2.91,overcast clouds
180,Syracuse,IT,37.0881,15.2792,69.8,46,0,11.5,clear sky
181,Airai,TL,-8.9266,125.4092,60.51,97,100,3.83,light rain
182,Half Moon Bay,US,37.4636,-122.4286,55.0,87,90,8.05,mist
183,Katsuura,JP,35.1333,140.3,59.0,77,75,8.05,broken clouds
184,Katangli,RU,51.7102,143.2326,29.08,93,100,12.12,overcast clouds
185,Kaeo,NZ,-35.1,173.7833,61.0,86,47,4.0,scattered clouds
186,Lebedinyy,RU,58.5167,125.5167,-3.91,99,98,1.25,overcast clouds
187,Japura,ID,-0.3167,102.35,76.91,85,98,3.71,overcast clouds
188,Vila Do Maio,CV,15.1333,-23.2167,87.8,22,0,17.27,clear sky
189,Nome,US,64.5011,-165.4064,7.0,85,90,27.63,snow
190,Fort Nelson,CA,58.8053,-122.7002,12.2,62,75,8.05,broken clouds
191,Malanje,AO,-9.5402,16.341,71.2,89,84,4.47,light rain
192,Payo,ID,-3.7508,103.6372,74.08,97,99,2.35,overcast clouds
193,Dubbo,AU,-32.25,148.6167,60.8,82,0,8.05,clear sky
194,Luena,AO,-11.7833,19.9167,77.0,69,40,6.91,light rain
195,Fort Frances,CA,48.5999,-93.4003,45.0,33,1,13.8,clear sky
196,Cassilandia,BR,-19.1133,-51.7342,90.95,35,72,3.27,broken clouds
197,Canita,PA,9.2097,-78.8811,87.8,55,40,17.27,scattered clouds
198,Urumqi,CN,43.801,87.6005,48.2,34,0,8.95,clear sky
199,Halifax,CA,44.6453,-63.5724,42.8,87,100,5.75,light rain
200,Vila,PT,42.0304,-8.1588,55.99,90,100,3.0,overcast clouds
201,Nhulunbuy,AU,-12.2333,136.7667,80.6,78,75,11.5,broken clouds
202,Ucluelet,CA,48.9329,-125.5528,41.0,93,90,3.44,overcast clouds
203,Amarwara,IN,22.3,79.1667,81.81,8,0,5.44,clear sky
204,Urdoma,RU,61.7533,48.5442,25.75,94,86,1.14,light snow
205,Bougouni,ML,11.417,-7.479,104.85,4,31,8.75,scattered clouds
206,Charters Towers,AU,-20.1,146.2667,65.28,77,1,9.64,clear sky
207,Olinda,BR,-8.0089,-34.8553,84.2,58,20,8.05,few clouds
208,Kloulklubed,PW,7.0419,134.2556,78.8,94,75,10.6,broken clouds
209,Dunda,TZ,-8.1167,34.25,68.54,80,98,5.46,light rain
210,Sao Filipe,CV,14.8961,-24.4956,75.67,64,1,9.78,clear sky
211,Winsum,NL,53.33,6.5208,46.99,85,100,3.0,overcast clouds
212,Pacific Grove,US,36.6177,-121.9166,53.01,82,90,5.75,haze
213,Panacan,PH,9.2463,118.4082,80.6,89,90,4.61,overcast clouds
214,Brainerd,US,46.358,-94.2008,46.99,31,1,24.16,clear sky
215,Kupang,ID,-10.1667,123.5833,78.53,89,100,14.18,moderate rain
216,Mossendjo,CG,-2.9506,12.7261,76.21,91,89,2.19,light rain
217,Ekhabi,RU,53.5102,142.9671,30.29,89,100,17.0,overcast clouds
218,Port-Gentil,GA,-0.7193,8.7815,82.4,78,20,12.66,light rain
