City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
335,Vila Velha,BR,80.6,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
337,San Cristobal,VE,78.8,fog,7.7669,-72.225,Posada Villaven C.A.
338,Rio Grande,BR,77.0,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
342,Bilma,NE,86.31,clear sky,18.6853,12.9164,Expeditions Ténére voyages
345,Mae Hong Son,TH,81.54,overcast clouds,19.3003,97.9685,Baiyoke Chalet Hotel
346,Bani Walid,LY,82.36,clear sky,31.7566,13.9942,منزل الصابر أبوفانة
350,Chalisgaon,IN,89.67,scattered clouds,20.4667,75.0167,Shree Datta
354,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
356,Constantine,DZ,75.2,clear sky,36.365,6.6147,Grand Hotel Cirta
362,Warangal,IN,89.58,clear sky,18.0,79.5833,OYO 46557 Hotel Dolphin
364,Nha Trang,VN,80.6,few clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
365,Bathsheba,BB,84.2,few clouds,13.2167,-59.5167,Atlantis Hotel
369,Sur,OM,83.12,clear sky,22.5667,59.5289,Sur Plaza Hotel
371,Ardakan,IR,80.6,sand,32.31,54.0175,Ardakan Hotel
372,Bundi,IN,84.67,clear sky,25.4417,75.6417,HOTEL BUNDI INN- A Heritage Haveli
385,Chimoio,MZ,77.0,scattered clouds,-19.1164,33.4833,Predio Livraria Ahmed
388,Gamba,GA,82.89,broken clouds,-2.65,10.0,
390,Manggar,ID,81.09,broken clouds,-2.8833,108.2667,Guest Hotel
391,Machiques,VE,89.73,overcast clouds,10.0644,-72.545,hotel el markes
393,Lantana,US,75.0,few clouds,26.5867,-80.05199999999999,Eau Palm Beach Resort & Spa
394,Totana,ES,77.0,few clouds,37.7688,-1.5023,Olimpia Hoteles
395,Gua Musang,MY,75.43,light rain,4.8823,101.9644,Mines Inn Hotel
399,Bucerias,MX,75.2,clear sky,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
405,Barahona,DO,84.2,few clouds,18.2085,-71.1008,Hotel Caribe
408,Pabna,BD,84.43,clear sky,24.0,89.25,Hotel Dream Palace International
411,Susangerd,IR,86.0,scattered clouds,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
413,Sao Sebastiao,BR,79.23,broken clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
416,Lazaro Cardenas,MX,88.29,clear sky,17.9583,-102.2,Hotel Quinta Antigua
417,Sarangani,PH,81.64,overcast clouds,5.4033,125.4636,Ballistic Islet
418,Palu,ID,76.23,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
421,Sassandra,CI,84.96,scattered clouds,4.95,-6.0833,la terrasse
426,Tual,ID,82.78,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
427,Aguas Formosas,BR,84.02,broken clouds,-17.0822,-40.9358,HAVAY PALACE HOTEL
429,Playas,EC,79.34,few clouds,-2.6333,-80.3833,Hostal Promenade
430,Bani,DO,84.2,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
